Gilbert,Gilbert,Arizona,,US,4,33.3528264,-111.789027
Baton Rouge,Baton Rouge,Louisiana,,US,4,30.4582829,-91.1403196
Irving,Irving,Texas,,US,4,32.8140177,-96.9488945
Scottsdale,Scottsdale,Arizona,,US,4,33.4941704,-111.9260519
North Las Vegas,North Las Vegas,Nevada,,US,4,36.1988592,-115.1175013
Fremont,Fremont,California,,US,4,37.5482697,-121.9885719
Boise City,Boise City,Idaho,,US,4,43.6187102,-116.2146068
San Bernardino,San Bernardino,California,,US,4,34.1083449,-117.2897652
Spokane,Spokane,Washington,,US,4,47.6587802,-117.4260466
Des Moines,Des Moines,Iowa,,US,4,41.6005448,-93.6091064
Modesto,Modesto,California,,US,4,37.6390972,-120.9968782
Alabama|Ala.|AL,,Alabama,,US,3,32.806671,-86.79113
Alaska|Alaska|AK,,Alaska,,US,3,61.370716,-152.404419
Arizona|Ariz.|AZ,,Arizona,,US,3,33.729759,-111.431221
Arkansas|Ark.|AR,,Arkansas,,US,3,34.969704,-92.373123
California|Calif.|CA,,California,,US,3,36.116203,-119.681564
Colorado|Colo.|CO,,Colorado,,US,3,39.059811,-105.311104
Connecticut|Conn.|CT,,Connecticut,,US,3,41.597782,-72.755371
Delaware|Del.|DE,,Delaware,,US,3,39.318523,-75.507141
Washington DC|Washington D.C.|Dist. of Columbia|D.C.|DC,,District of Columbia,,US,3,38.897438,-77.026817
Florida|Fla.|FL,,Florida,,US,3,27.766279,-81.686783
Georgia|Ga.|GA,,Georgia,,US,3,33.040619,-83.643074
Hawaii|Hawaii|HI,,Hawaii,,US,3,21.094318,-157.498337
Idaho|Idaho|ID,,Idaho,,US,3,44.240459,-114.478828
Illinois|Ill.|IL,,Illinois,,US,3,40.349457,-88.986137
Indiana|Ind.|IN,,Indiana,,US,3,39.849426,-86.258278
Iowa|Iowa|IA,,Iowa,,US,3,42.011539,-93.210526
Kansas|Kans.|KS,,Kansas,,US,3,38.5266,-96.726486
Kentucky|Ky.|KY,,Kentucky,,US,3,37.66814,-84.670067
Louisiana|La.|LA,,Louisiana,,US,3,31.169546,-91.867805
Maine|Maine|ME,,Maine,,US,3,44.693947,-69.381927
Maryland|Md.|MD,,Maryland,,US,3,39.063946,-76.802101
Massachusetts|Mass.|MA,,Massachusetts,,US,3,42.230171,-71.530106
Michigan|Mich.|MI,,Michigan,,US,3,43.326618,-84.536095
Minnesota|Minn.|MN,,Minnesota,,US,3,45.694454,-93.900192
Mississippi|Miss.|MS,,Mississippi,,US,3,32.741646,-89.678696
Missouri|Mo.|MO,,Missouri,,US,3,38.456085,-92.288368
Montana|Mont.|MT,,Montana,,US,3,46.921925,-110.454353
Nebraska|Nebr.|NE,,Nebraska,,US,3,41.12537,-98.268082
Nevada|Nev.|NV,,Nevada,,US,3,38.313515,-117.055374
New Hampshire|N.H.|NH,,New Hampshire,,US,3,43.452492,-71.563896
New Jersey|N.J.|NJ,,New Jersey,,US,3,40.298904,-74.521011
New Mexico|N.M.|NM,,New Mexico,,US,3,34.840515,-106.248482
New York|N.Y.|NY,New York,New York,,US,3,42.165726,-74.948051
North Carolina|N.C.|NC,,North Carolina,,US,3,35.630066,-79.806419
North Dakota|N.D.|ND,,North Dakota,,US,3,47.528912,-99.784012
Ohio|Ohio|OH,,Ohio,,US,3,40.388783,-82.764915
Oklahoma|Okla.|OK,,Oklahoma,,US,3,35.565342,-96.928917
Oregon|Ore.|OR,,Oregon,,US,3,44.572021,-122.070938
Pennsylvania|Pa.|PA,,Pennsylvania,,US,3,40.590752,-77.209755
Rhode Island|R.I.|RI,,Rhode Island,,US,3,41.680893,-71.51178
South Carolina|S.C.|SC,,South Carolina,,US,3,33.856892,-80.945007
South Dakota|S.D.|SD,,South Dakota,,US,3,44.299782,-99.438828
Tennessee|Tenn.|TN,,Tennessee,,US,3,35.747845,-86.692345
Texas|Tex.|TX,,Texas,,US,3,31.054487,-97.563461
Utah|Utah|UT,,Utah,,US,3,40.150032,-111.862434
Vermont|Vt.|VT,,Vermont,,US,3,44.045876,-72.710686
Virginia|Va.|VA,,Virginia,,US,3,37.769337,-78.169968
Washington|Wash.|WA,,Washington,,US,3,47.400902,-121.490494
West Virginia|W.Va.|WV,,West Virginia,,US,3,38.491226,-80.954453
Wisconsin|Wis.|WI,,Wisconsin,,US,3,44.268543,-89.616508
Wyoming|Wyo.|WY,,Wyoming,,US,3,42.755966,-107.30249
US|USA|U.S.A.|United States|United States of America,,,,US,1,38.897438,-77.026817
